Order ID;Order Date;Order Priority;Order Quantity;Sales;Ship Mode;Customer Segment;Product Container;Ship Date
3;13.10.2010;Low;6;261,54;Regular Air;Small Business;Large Box;20.10.2010
293;01.10.2012;High;49;10123,02;Delivery Truck;Consumer;Jumbo Drum;02.10.2012
293;01.10.2012;High;27;244,57;Regular Air;Consumer;Small Box;03.10.2012
483;10.07.2011;High;30;4965,7595;Regular Air;Corporate;Small Box;12.07.2011
515;28.08.2010;Not Specified;19;394,27;Regular Air;Consumer;Medium Box;30.08.2010
515;28.08.2010;Not Specified;21;146,69;Regular Air;Consumer;Small Pack;30.08.2010
613;17.06.2011;High;12;93,54;Regular Air;Corporate;Small Box;17.06.2011
613;17.06.2011;High;22;905,08;Regular Air;Corporate;Small Box;18.06.2011
643;24.03.2011;High;21;2781,82;Express Air;Corporate;Large Box;25.03.2011
678;26.02.2010;Low;44;228,41;Regular Air;Home Office;Small Box;26.02.2010
807;23.11.2010;Medium;45;196,85;Regular Air;Home Office;Small Box;24.11.2010
807;23.11.2010;Medium;32;124,56;Regular Air;Home Office;Wrap Bag;24.11.2010
868;08.06.2012;Not Specified;32;716,84;Regular Air;Home Office;Medium Box;09.06.2012
868;08.06.2012;Not Specified;31;1474,33;Regular Air;Home Office;Small Pack;10.06.2012
933;04.08.2012;Not Specified;15;80,61;Regular Air;Small Business;Small Box;04.08.2012
995;30.05.2011;Medium;46;1815,49;Regular Air;Home Office;Wrap Bag;31.05.2011
998;25.11.2009;Not Specified;16;248,26;Regular Air;Small Business;Small Box;26.11.2009
1154;14.02.2012;Critical;44;4462,23;Delivery Truck;Home Office;Jumbo Box;16.02.2012
1154;14.02.2012;Critical;11;663,784;Regular Air;Home Office;Large Box;16.02.2012
1344;15.04.2012;Low;15;834,904;Regular Air;Corporate;Small Box;22.04.2012
1344;15.04.2012;Low;18;2480,9205;Regular Air;Corporate;Small Box;19.04.2012
1412;12.03.2010;Not Specified;13;59,03;Express Air;Consumer;Small Box;14.03.2010
1412;12.03.2010;Not Specified;21;97,48;Regular Air;Consumer;Wrap Bag;14.03.2010
1539;09.03.2011;Low;33;511,83;Regular Air;Corporate;Small Box;11.03.2011
1539;09.03.2011;Low;38;184,99;Regular Air;Corporate;Small Pack;14.03.2011
1540;04.08.2012;High;30;80,9;Regular Air;Home Office;Wrap Bag;06.08.2012
1702;06.05.2011;High;23;67,24;Regular Air;Home Office;Wrap Bag;07.05.2011
1761;23.12.2010;High;25;12028,23;Delivery Truck;Corporate;Jumbo Drum;25.12.2010
1792;08.11.2010;Low;28;370,48;Regular Air;Consumer;Small Box;13.11.2010
2275;21.10.2012;Not Specified;49;278;Regular Air;Small Business;Wrap Bag;22.10.2012
2277;01.01.2011;Not Specified;10;66,54;Regular Air;Home Office;Small Pack;02.01.2011
2277;01.01.2011;Not Specified;21;845,32;Regular Air;Home Office;Small Box;03.01.2011
2532;10.10.2011;High;39;282,07;Regular Air;Corporate;Small Box;11.10.2011
2532;10.10.2011;High;24;426,037;Regular Air;Corporate;Wrap Bag;11.10.2011
2631;23.09.2010;Low;27;1078,49;Regular Air;Corporate;Small Pack;25.09.2010
